dataset,trees,step,label,kernel,hdr_p50_us,hdr_mean_us,hdr_p90_us,hdr_p99_us,gb_real_time_us,hdr_p50_over_gb,hdr_mean_over_gb,gb_iterations,hdr_cfg,gb_cfg,hdr_name,gb_name,hdr_path,gb_path
higgs,2000,step0,Step 0: Naive Persistent,traversal,9.687,17.469317139999998,10.383,11.895,15.270859323521718,0.6343454415220173,1.1439642504657215,46184,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n2000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n2000/bt512/worker_bench_cuda.json
higgs,2000,step0,Step 0: Naive Persistent,bitmask,14.103,25.4266574,14.887,18.879,21.348703950152647,0.6606021626853447,1.1910164410621373,31721,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n2000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n2000/bt512/worker_bench_cuda.json
higgs,5000,step0,Step 0: Naive Persistent,traversal,25.807,56.782276319999994,28.415,2293.759,36.70566944139646,0.7030793987071382,1.5469620138833715,18741,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n5000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n5000/bt512/worker_bench_cuda.json
higgs,5000,step0,Step 0: Naive Persistent,bitmask,37.663,72.20994207999999,41.343,2299.903,53.14942126816636,0.70862483732364,1.3586214178262344,13457,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n5000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n5000/bt512/worker_bench_cuda.json
epsilon,500,step0,Step 0: Naive Persistent,traversal,6.627,15.48934708,7.255,10.503,12.309263327496053,0.5383750289261269,1.258348827862052,55186,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n500/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n500/bt1024/worker_bench_cuda.json
epsilon,500,step0,Step 0: Naive Persistent,bitmask,16.447,38.0035056,16.991,30.799,24.900183304591618,0.6605172258698656,1.5262339692492188,27517,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n500/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n500/bt1024/worker_bench_cuda.json
epsilon,1000,step0,Step 0: Naive Persistent,traversal,6.867,16.38262314,7.583,17.007,15.056921439553518,0.456069325165027,1.0880459996931346,46041,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,1000,step0,Step 0: Naive Persistent,bitmask,26.479,73.76675904000001,27.167,2297.855,38.85271416825621,0.6815225285247666,1.8986256332194567,17101,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,2000,step0,Step 0: Naive Persistent,traversal,7.539,17.95394786,8.383,11.407,15.878043537110715,0.4748066084073637,1.1307405612056303,45088,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
epsilon,2000,step0,Step 0: Naive Persistent,bitmask,27.423,63.138938800000005,27.967,2295.807,40.41364036884445,0.6785580252043033,1.562317530015803,16820,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
