dataset,trees,family,mode,worker,buffer,threads,bt,transposed,bitmask,cached,mapped,devreduce,crossreduce,features,real_time_ns,cpu_time_ns,iterations,items_per_second,name
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,0,0,1,28,15844.390489864636,15842.80566068398,43069,63113.81940754878,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,0,0,1,28,15686.36358808102,15685.798350506766,47166,63749.63798237028,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,0,0,1,28,23347.962586134225,23346.10812471197,32555,42830.289637087015,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,0,0,1,28,19685.608373126543,19684.513121663404,35590,50798.53165041789,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,1,0,1,28,9453.268197955504,9452.511144779706,73263,105783.52153557581,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,1,0,1,28,9184.363147378655,9183.938382608867,76407,108880.71213575803,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,1,0,1,28,13401.897296534145,13400.378747584555,52267,74616.30080232068,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,1,0,1,28,11556.090471773074,11555.177350006581,60936,86534.45578698104,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,0,1,1,28,16202.477743324633,16201.199661864966,43178,61718.95532533576,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,0,1,1,28,15961.028607175676,15959.821421261968,43975,62652.60370189582,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,0,1,1,28,23638.60430558238,23636.963590874766,30377,42303.68202253991,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,0,1,1,28,19939.06627321501,19936.941684240235,35565,50152.79985017866,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,1,1,1,28,9481.343341387801,9480.572802590239,73507,105470.28664543942,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,1,1,1,28,9201.49167560825,9200.53325147538,75741,108678.0312643055,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,1,1,1,28,13434.319720812908,13434.227994796738,50738,74436.22161610206,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,1,1,1,28,11548.058968493482,11547.894627211193,60490,86594.63921411343,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cpu,,branch,tree,nothread,,,,,,,,28,5307.484353270212,5306.876622475733,129740,188413.1790956386,branch/tree/nothread/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,tree,nothread,,,,,,,,28,110680.5759402086,110667.96191080671,6301,9035.009002304216,bitmask/tree/nothread/features:28/real_time
higgs_d6_n500,500,cpu,,branch,tree,1,,,,,,,,28,5619.395174561742,5618.690023581491,124674,177955.0946206573,branch/tree/threads:1/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,tree,1,,,,,,,,28,119064.47991602708,118675.96400151498,5278,8398.810465600427,bitmask/tree/threads:1/features:28/real_time
higgs_d6_n500,500,cpu,,branch,tree,2,,,,,,,,28,3085.7586001343216,3085.7446572436875,224416,324069.42006301804,branch/tree/threads:2/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,tree,2,,,,,,,,28,60553.01205464141,60552.83244387161,10868,16514.455120706905,bitmask/tree/threads:2/features:28/real_time
higgs_d6_n500,500,cpu,,branch,tree,4,,,,,,,,28,4543.824105825774,4543.816707886775,414846,220078.94159412332,branch/tree/threads:4/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,tree,4,,,,,,,,28,30781.02031924678,30781.146259406563,22590,32487.552057353965,bitmask/tree/threads:4/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,0,0,0,0,,28,12028.972838511989,12028.421530087691,56219,83132.61767442,cuda/oneshot/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,0,0,0,0,,28,11770.899440133238,11769.704422019538,59656,84955.27509057378,cuda/oneshot/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,1,0,0,0,,28,16494.82775256096,16492.299857666338,42857,60625.064717316716,cuda/oneshot/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,1,0,0,0,,28,14947.577400725906,14945.288847724509,47506,66900.47311288293,cuda/oneshot/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:0/features:28/real_time
