dataset,trees,bt,step,kernel,real_time_us,name
epsilon,500,1024,oneshot,bitmask,14.94370227672649,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step0,traversal,12.309263327496053,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time
epsilon,500,1024,step0,bitmask,24.900183304591618,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step1,traversal,9.14454107886878,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time
epsilon,500,1024,step1,bitmask,18.738215451838062,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step2,traversal,7.498210269865828,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time
epsilon,500,1024,step2,bitmask,16.841044772294353,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step3,traversal,8.188337506060101,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time
epsilon,500,1024,step3,bitmask,17.74208374527976,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step4,traversal,7.991484372302558,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:2000/real_time
epsilon,500,1024,step4,bitmask,17.589927742522985,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step5,bitmask,7.7476787377084655,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:16/nodestride:1/features:2000/real_time
epsilon,1000,1024,oneshot,traversal,12.98622795784746,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time
epsilon,1000,1024,oneshot,bitmask,20.0189167872915,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step0,traversal,15.056921439553518,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time
epsilon,1000,1024,step0,bitmask,38.85271416825621,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step1,traversal,11.556705297349104,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time
epsilon,1000,1024,step1,bitmask,29.31039518185212,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step2,traversal,10.141105636584658,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time
epsilon,1000,1024,step2,bitmask,27.877584317223075,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step3,traversal,10.195326363562048,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time
epsilon,1000,1024,step3,bitmask,28.465792689451074,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step4,traversal,10.053983736844527,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:2000/real_time
epsilon,1000,1024,step4,bitmask,28.15702599940589,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step5,bitmask,9.794431514195153,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:8/nodestride:1/features:2000/real_time
epsilon,2000,1024,oneshot,traversal,13.645433529657208,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time
epsilon,2000,1024,oneshot,bitmask,20.86842709496557,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step0,traversal,15.878043537110715,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time
epsilon,2000,1024,step0,bitmask,40.41364036884445,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step1,traversal,12.12159253264141,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time
epsilon,2000,1024,step1,bitmask,30.927402345875176,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step2,traversal,10.376527696144377,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time
epsilon,2000,1024,step2,bitmask,28.853381464703244,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step3,traversal,10.61016395340969,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time
epsilon,2000,1024,step3,bitmask,30.136262294849566,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step4,traversal,10.077584077440697,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:2000/real_time
