n,mode,buffer,T,B,M,CR,time_us
2000,persistent,tree,1,0,0,0,17.32460752705304
3000,persistent,tree,1,0,0,0,19.08545330693947
4000,persistent,tree,1,0,0,0,23.25348780187591
5000,persistent,tree,1,0,0,0,26.843685132654787
500,persistent,tree,1,0,0,1,13.101421455244795
1000,persistent,tree,1,0,0,1,24.931635202702168
2000,persistent,tree,1,0,0,1,34.502553043414345
3000,persistent,tree,1,0,0,1,23.98039011910738
4000,persistent,tree,1,0,0,1,42.84403516488583
5000,persistent,tree,1,0,0,1,46.474512173652236
500,persistent,tree,1,0,1,0,7.195983024711221
1000,persistent,tree,1,0,1,0,8.597331054224219
2000,persistent,tree,1,0,1,0,13.15814905926227
3000,persistent,tree,1,0,1,0,15.900208235473674
4000,persistent,tree,1,0,1,0,22.638441170173575
5000,persistent,tree,1,0,1,0,25.215136202808385
500,persistent,tree,1,0,1,1,8.75816712518938
1000,persistent,tree,1,0,1,1,11.340321352487406
2000,persistent,tree,1,0,1,1,16.71445261703246
3000,persistent,tree,1,0,1,1,21.952641147107272
4000,persistent,tree,1,0,1,1,45.27062158241661
5000,persistent,tree,1,0,1,1,44.16689919326605
500,persistent,tree,1,1,0,0,13.414690836237368
1000,persistent,tree,1,1,0,0,20.64924102157599
2000,persistent,tree,1,1,0,0,24.08344923055721
3000,persistent,tree,1,1,0,0,18.420702152936915
4000,persistent,tree,1,1,0,0,29.084712111795863
5000,persistent,tree,1,1,0,0,32.268148591376786
500,persistent,tree,1,1,0,1,17.80077529983828
1000,persistent,tree,1,1,0,1,29.35127348100026
2000,persistent,tree,1,1,0,1,37.422395677298596
3000,persistent,tree,1,1,0,1,26.34863379666334
4000,persistent,tree,1,1,0,1,68.99680064893747
5000,persistent,tree,1,1,0,1,55.250250066865455
500,persistent,tree,1,1,1,0,9.25586841321601
1000,persistent,tree,1,1,1,0,11.225326318648516
2000,persistent,tree,1,1,1,0,15.082039372810277
3000,persistent,tree,1,1,1,0,18.008095718847162
4000,persistent,tree,1,1,1,0,27.87610957833576
5000,persistent,tree,1,1,1,0,30.06620140382785
500,persistent,tree,1,1,1,1,11.414438482950994
1000,persistent,tree,1,1,1,1,13.379919069140211
2000,persistent,tree,1,1,1,1,18.88262990938405
3000,persistent,tree,1,1,1,1,23.293084318267734
4000,persistent,tree,1,1,1,1,40.635506667232036
5000,persistent,tree,1,1,1,1,46.905959549126216
